0,1,2
65,75,50
67,89,42
75,103,42
73,146,3
81,154,11
89,164,20
92,167,23
86,164,19
79,158,13
75,154,9
73,155,9
62,139,7
63,145,0
67,154,0
73,160,4
76,159,15
78,156,20
78,153,11
77,149,3
81,152,22
74,143,16
68,131,14
66,123,16
68,119,24
69,114,29
66,107,31
63,100,30
71,88,54
65,82,48
57,74,42
48,64,35
44,60,33
43,59,33
45,60,37
47,62,39
49,67,51
47,64,48
44,61,45
46,60,45
50,64,47
55,68,51
58,69,53
58,69,53
61,75,62
61,75,62
60,74,61
59,73,60
58,71,61
58,71,61
57,70,60
57,70,60
54,74,63
53,73,62
50,70,61
48,68,59
48,67,61
50,69,65
53,72,68
54,73,69
57,75,75
57,75,75
59,77,77
60,78,78
62,80,80
63,81,81
65,83,83
65,83,83
75,89,92
75,89,92
75,88,94
76,89,97
76,89,98
76,88,100
76,88,102
76,88,102
72,78,104
63,75,91
55,73,73
55,83,58
63,104,48
77,129,44
91,150,40
98,162,39
84,166,0
87,168,1
89,170,5
87,165,3
82,158,0
77,152,0
78,151,0
80,152,4
86,131,48
74,117,46
62,98,52
55,83,61
56,76,75
60,74,85
60,72,88
61,70,87
46,66,65
46,66,64
45,66,57
44,66,53
42,64,51
41,62,53
40,61,56
40,60,59
48,61,69
48,61,69
47,60,68
40,118,0
47,125,5
54,133,14
55,134,17
49,130,12
46,127,9
46,130,9
50,134,12
63,139,13
60,139,12
59,138,10
57,138,9
56,137,8
56,138,12
56,138,14
55,139,17
70,139,20
66,132,0
48,132,0
60,135,16
71,124,8
64,145,6
75,148,33
159,155,107
190,150,158
183,140,150
187,139,153
197,146,163
192,141,156
181,134,144
176,134,138
179,139,139
189,140,146
206,165,181
187,170,178
143,158,127
89,140,65
57,132,50
55,142,97
59,148,146
51,140,118
48,138,113
43,133,105
39,130,97
36,128,89
35,128,84
35,128,81
36,130,80
38,127,83
44,127,85
46,118,78
36,94,54
22,66,30
20,50,14
32,52,17
46,60,27
52,89,9
49,82,13
41,71,19
30,58,20
23,48,19
24,47,19
32,56,24
39,63,27
45,85,33
50,90,38
46,89,35
40,84,31
52,96,47
76,121,78
94,140,103
98,143,110
98,108,84
73,82,61
44,55,38
35,46,29
42,55,37
47,62,39
41,57,28
29,48,16
43,60,28
32,50,26
18,41,23
13,45,22
26,69,24
49,106,27
75,142,26
92,166,27
93,175,13
87,172,6
80,173,0
76,174,0
78,176,0
82,179,2
88,180,11
92,180,18
115,186,82
146,208,143
158,212,178
134,188,138
106,172,66
99,177,16
97,182,1
89,178,0
89,178,0
92,180,6
97,185,15
102,189,24
104,191,24
103,192,16
100,190,4
98,189,0
98,190,0
99,189,0
101,188,0
104,185,2
104,182,0
105,179,0
105,177,0
105,176,0
87,142,12
83,132,15
82,123,27
95,125,51
116,136,77
130,140,88
130,134,83
124,127,74
128,130,80
108,125,57
79,120,26
57,122,4
49,131,0
53,142,0
57,148,8
62,150,14
55,139,0
56,139,0
56,139,7
54,139,12
54,139,12
51,138,7
49,137,0
46,138,0
54,146,11
57,145,9
65,143,8
74,139,11
82,131,22
89,123,37
94,114,53
96,109,63
83,82,62
85,84,64
89,88,68
94,93,73
100,99,79
105,104,84
109,108,88
111,110,90
94,92,67
88,83,64
85,78,68
90,83,77
91,89,74
89,97,60
92,112,53
100,126,53
82,162,3
86,168,8
90,171,14
86,170,12
79,164,8
74,159,4
72,159,3
74,160,7
72,150,2
67,151,0
64,152,0
63,153,0
66,153,10
71,155,15
74,157,7
76,158,0
68,152,0
61,141,0
54,129,0
53,118,0
57,113,2
63,110,14
64,106,22
65,102,24
84,98,63
78,92,59
68,81,51
59,72,44
54,67,41
53,65,41
55,67,45
57,69,47
64,75,69
57,68,60
50,62,52
52,63,49
61,70,53
65,74,53
65,73,50
61,69,45
66,80,54
66,80,54
65,79,53
64,78,53
63,77,52
63,77,52
62,76,51
62,76,51
56,75,53
54,73,53
52,71,51
50,69,50
50,69,50
52,70,54
54,72,56
56,74,60
46,65,45
47,66,46
48,67,47
49,68,48
51,70,50
52,71,51
54,73,53
54,73,53
56,73,57
56,73,57
57,73,60
57,73,62
58,74,64
58,73,68
59,74,69
59,74,71
53,61,63
53,66,56
59,83,49
77,114,47
95,148,44
102,169,27
95,175,0
85,171,0
79,171,8
81,173,12
81,171,13
76,165,11
71,157,8
67,152,7
70,153,11
74,157,17
84,159,0
82,152,0
82,140,17
84,129,46
83,117,67
77,101,77
65,82,74
55,70,67
65,93,71
65,93,68
64,93,63
64,94,60
63,92,61
62,90,65
62,89,70
62,88,75
46,58,70
45,57,69
45,57,69
33,119,10
38,120,9
45,124,7
52,128,6
55,129,6
54,130,6
51,129,7
48,129,8
51,131,6
52,132,7
52,132,7
53,133,8
54,134,9
55,135,10
55,135,10
56,136,11
48,130,6
56,135,8
56,136,5
53,139,2
56,144,8
68,138,13
103,145,37
148,165,69
189,151,128
163,127,105
165,132,113
181,152,134
175,148,131
163,137,120
164,137,120
165,138,121
166,138,114
171,156,127
172,180,143
140,175,133
91,150,104
68,147,102
65,157,116
53,153,115
68,144,106
53,137,87
35,126,59
30,114,36
34,109,27
38,112,33
35,122,44
32,130,55
20,134,62
36,138,72
47,132,73
44,111,58
31,86,31
27,79,15
39,93,18
55,110,27
82,145,2
75,136,0
62,116,0
45,92,0
31,73,0
26,65,0
31,68,17
38,73,33
51,114,44
65,132,55
63,134,54
47,119,53
49,124,81
77,153,127
94,173,151
91,174,148
107,154,146
81,132,101
55,110,43
50,108,6
63,123,1
75,134,6
76,132,9
69,122,6
63,120,25
62,119,24
58,120,19
58,126,17
65,136,14
75,153,15
85,170,15
93,180,15
83,174,8
88,179,13
88,179,13
82,173,7
81,172,6
87,178,12
86,177,11
80,171,5
89,180,15
112,199,56
123,208,81
108,194,57
90,181,16
87,181,0
93,186,7
97,189,20
93,182,12
93,183,10
93,183,10
93,183,8
93,183,7
94,184,8
94,185,6
94,185,6
96,185,9
96,185,9
96,185,9
97,186,10
98,187,11
99,188,12
99,188,12
100,189,13
97,176,0
96,172,2
95,164,9
93,156,16
92,146,26
91,138,34
90,130,41
89,127,44
80,130,43
